review,product,sentiment,pros,cons,improvements,verdict
Nothing is a relatively new brand itself but their subbrand - CMF - is even more recent and so far limited itself to offering smartphone accessories with...,poco c75,Positive,[],[],[],Mostly Positive
"CMF by Nothing Phone 1 5G (Blue, 6GB RAM, 128GB Storage) | Expandable Upto 2 TB | 50MP+2MP | 16MP Front Camera | Dimensity 7300 5G Processor | 6.67 AMOLED Display | 33W Fast Charging | Designed 2 Last : Amazon.in: Electronics",poco c75,Neutral,['fast'],[],[],Mostly Positive
"You can download this app, developed by Nothing Technology Ltd, from the Google Play Store to ensure uniformity. Nothing has promised two years of major software updates and an additional year of security updates for the device, which is standard. The CMF Phone 1 comes with a 5,000mAh battery, ...",poco c75,Neutral,[],[],[],Mostly Positive
"30 Jul 2024 — The CMF Phone 1 offers excellent performance, design, and battery life . However, will it be able to survive the competition? Check out the review!",poco c75,Positive,['excellent'],[],[],Mostly Positive
"+ 1616. CMF by Nothing Phone 1 (Black, 128 GB) Reviews ....Best phone in this budget The camera quality of this phone is very good. Read more. Ruma mahata.",poco c75,Positive,"['good', 'quality']",[],[],Mostly Positive
"CMF BY NOTHING Phone 1 5G Mobile Phone Information. Technical Details.Battery life receives mixed reviews , with some customers reporting good performance while others experience issues with the phone stopping charging.",poco c75,Positive,['good'],['issue'],['Fix common bugs/issues.'],Mostly Positive
"India's biggest online store for Mobiles, Fashion (Clothes/Shoes), Electronics, Home Appliances, Books, Home, Furniture, Grocery, Jewelry, Sporting goods, Beauty & Personal Care and more! Find the largest selection from all brands at the lowest prices in India.",poco c75,Positive,['good'],[],[],Mostly Positive
i phone 16,"Buy mobile phones at best prices. Flipkart is the right platform for you to look for a mobile phone that fits your budget, technical and design requirements as we have phones ranging from Rs …",Positive,[],[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
i phone 16,These are the best phones you can buy at a wide range of prices based on our extensive testing and head-to-head comparisons.,Positive,[],[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
i phone 16,21 Oct 2024 — iPhone 16 Plus · Good · Stunning display · Solid build quality and lovely colour options · Battery life is bonkers on this one · Excellent for ...,Positive,"['good', 'excellent', 'quality', 'battery', 'display']",[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
i phone 16,"Sharing more of the same features found on the Pro models than ever before, the iPhone 16 proves that, pound-for-pound, it's one of the best contenders for best phone, with its stylish looks,...",Positive,[],[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
i phone 16,"Sep 18, 2024 · For the starting price, the iPhone 16 offers responsive performance to compete with rivals like the Galaxy S24 or Pixel 9. It’s not a night-and-day improvement over the iPhone 15 for say, video...",Neutral,[],[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
i phone 16,"October 7, 2024 - I wasn't lucky enough to get an iPhone 16 Pro Max on launch day, but seven days ago it finally appeared at my door. I already had a good idea of what to expect when it did arrive thanks to Tom's Guide's reviews and hands-ons with the different models and their new features, but now I've had ...",Positive,['good'],[],[],"Mostly Positive — 83.3% Positive, 0.0% Negative, 16.7% Neutral"
Samsung Discover the Latest,"1 month ago - You really have to be swayed by the thin look of the Edge to justify that cost, since other features — including performance and Galaxy AI support — are identical. Read our full Samsung Galaxy S25 Edge review . ... U.S. shoppers can now discover what people in the U.K.",Neutral,[],[],[],"Mostly Positive — 80.0% Positive, 0.0% Negative, 20.0% Neutral"
Samsung Discover the Latest,"Aug 9, 2025 · Get the latest samsung reviews headlines including analysis on top samsung reviews , stories, photos and more on samsung.",Positive,[],[],[],"Mostly Positive — 80.0% Positive, 0.0% Negative, 20.0% Neutral"
Samsung Discover the Latest,Samsung 's latest buds are bringing some great specs and Galaxy AI to a more affordable price point.,Positive,['great'],[],[],"Mostly Positive — 80.0% Positive, 0.0% Negative, 20.0% Neutral"
Samsung Discover the Latest,"February 17, 2025 - Our guide to the best Samsung phones features models for all budgets and use cases.",Positive,[],[],[],"Mostly Positive — 80.0% Positive, 0.0% Negative, 20.0% Neutral"
Samsung Discover the Latest,Total of 298 user reviews and opinions for Samsung Galaxy Discover S730M. ... These are the best offers from our affiliate partners.,Positive,[],[],[],"Mostly Positive — 80.0% Positive, 0.0% Negative, 20.0% Neutral"
redmi 9A,"Been using my Redmi 9A (32gb / 1) phone for 1 and half year for school purposes. Trust me, it will test your patience. I can't even open another tab because it lags everytime. The only good thing about this phone is it has a large battery capacity and has a large display .",Positive,"['good', 'battery', 'display']",['lag'],['Improve performance/speed.'],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
redmi 9A,"Xiaomi Redmi 9A mobile with 6.53-inch 720x1600 display powered by MediaTek Helio G25 processor alongside 2GB of RAM and 13-megapixel rear camera. 3.9☆ 9,001 ...",Neutral,"['camera', 'display']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
redmi 9A,"You can check the price history of Xiaomi Redmi 9A below. The current price is ₹7,999. Over the past month, there has been a increase of ₹1,426 in the price.",Negative,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
redmi 9A,"I kinda gave up and took on a Samsung Phone and kept the 9A as a backup. And even after I cleared out a lot of Apps from it, and only using it to read novels. That damn thing still lags! It was so bad I gave up. Its now sitting in my office doing nothing. I was hoping to donate it, but considering how laggy it is. I didnt want to impose that frustration on others. ... Total of 675 user reviews and opinions for Xiaomi Redmi ...",Negative,[],"['bad', 'lag']","['Improve performance/speed.', 'Quality/reliability improvements.']","Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
mi,Install MIUI version 6.10.13. Battery least longest on it. Up to 6h SOT on 5-6 days standby. No bugs founded. ... Total of 2728 user reviews and opinions for Xiaomi Mi 4.,Negative,['battery'],['bug'],['Stability fixes.'],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
mi,"Recently at nougat miui 8 stable. Miui 9 coming, currently in beta channel. Been using this phone for 1 year now. SOT about 4.5 hours in nougat. Really good phone, definitely better than any redmi series in term of performance. ... Total of 691 user reviews and opinions for Xiaomi Mi 4c.",Positive,['good'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
mi,Xiaomi Mi 11 review ... Reviews Xiaomi Mi 11 review ... Xiaomi Mi 11 review - Reader comments,Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
mi,7 Aug 2025 — The Xiaomi 15 Ultra occupies our current top spot thanks to its exceptional performance and truly unique cameras.,Positive,['camera'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
mi,"3 Nov 2021 — Mi Notebook Ultra Laptop · Good · High-res 90Hz 16:10 display · Comfortable keyboard · Relatively portable, well built · Good overall ...",Positive,"['good', 'comfortable', 'display']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"It’s not going to impress camera phone fans and you’ll have to wait for a few of its software features, but despite those setbacks, the Poco X7 Pro presents a solid package at a low price. ... Why you can trust TechRadar We spend hours testing every product or service we review , so you can ... A fiercely competitive budget phone",Neutral,['camera'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"User Ratings for Poco F1 and User Reviews for Poco F1 at Gadgets 360. Do you agree with the responses? or Was this review helpful to You? You can easily share your opinions, vote for each Poco F1 user review and rating.",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"The Poco X3 NFC comes with a few features you might expect of a pricier Android handset, such as decent gaming performance thanks to its Snapdragon G-series processor and a 120Hz screen, with excellent battery life sealing the deal. This is a great option for those on a budget. ... Why you can trust TechRadar We spend hours testing every product or service we review ... A lot of phone for not very much cash",Positive,"['great', 'excellent', 'battery']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"November 11, 2023 - Poco 's new entry-level herp is here. We have the new Poco C65 in for review so let's do an unboxing. The phone comes in a modest package with only a USB...",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"We will continue to refer to the handset as Poco F6 throughout this review , but all review findings should apply to the Redmi Turbo 3 as well.",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"Well, we are intrigued to see what this Poco F4 has to offer, especially now that we've reviewed the higher-tier Poco F4 GT.",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,Poco X6 Pro review ... Reviews Poco X6 Pro review ... Poco X6 Pro review - Reader comments,Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,Our review unit comes in black but you can also pick up the Poco Watch in blue and ivory colors with color-matched straps.,Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"Poco F6 Review : Excellent Performance, Mid Range Cameras ... Poco F6 is a mid-range phone that competes with the likes of the new Realme GT 6T , Vivo ...",Positive,"['excellent', 'camera']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,Poco X6 Pro Review : Total Bang for the Buck ... Read detailed Poco X6 Pro review ... Poco M7 5G Review : Familiar Territory,Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
poco,"See full specifications, expert reviews , user ratings, and more. Compare Poco C75 5G prices before buying online.",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"Due to its low cost, the CMF Phone 1 is constructed primarily out of plastic. I’m not terribly surprised by this because all of the small design choices Nothing makes give it an original look that’s unlike anything else out there. For starters, the plastic body of my light green review unit ... You won't find other cheap phones that look like this",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"The CMF Phone 1 is not afraid of its Nothing roots. On the contrary, as we mentioned, Nothing views the CMF Phone 1 as another entryway into the broader...",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,Nothing is a relatively new brand itself but their subbrand - CMF - is even more recent and so far limited itself to offering smartphone accessories with...,Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"CMF by Nothing Phone 1 5G (Blue, 6GB RAM, 128GB Storage) | Expandable Upto 2 TB | 50MP+2MP | 16MP Front Camera | Dimensity 7300 5G Processor | 6.67 AMOLED Display | 33W Fast Charging | Designed 2 Last : Amazon.in: Electronics",Neutral,"['fast', 'camera', 'display']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"You can download this app, developed by Nothing Technology Ltd, from the Google Play Store to ensure uniformity. Nothing has promised two years of major software updates and an additional year of security updates for the device, which is standard. The CMF Phone 1 comes with a 5,000mAh battery, ...",Neutral,['battery'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"30 Jul 2024 — The CMF Phone 1 offers excellent performance, design, and battery life . However, will it be able to survive the competition? Check out the review!",Positive,"['excellent', 'battery']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"+ 1616. CMF by Nothing Phone 1 (Black, 128 GB) Reviews ....Best phone in this budget The camera quality of this phone is very good. Read more. Ruma mahata.",Positive,"['good', 'quality', 'camera']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"CMF BY NOTHING Phone 1 5G Mobile Phone Information. Technical Details.Battery life receives mixed reviews , with some customers reporting good performance while others experience issues with the phone stopping charging.",Positive,"['good', 'battery']",['issue'],['Stability fixes.'],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothing phone 1,"India's biggest online store for Mobiles, Fashion (Clothes/Shoes), Electronics, Home Appliances, Books, Home, Furniture, Grocery, Jewelry, Sporting goods, Beauty & Personal Care and more! Find the largest selection from all brands at the lowest prices in India.",Positive,['good'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,"Buy mobile phones at best prices. Flipkart is the right platform for you to look for a mobile phone that fits your budget, technical and design requirements as we have phones ranging from Rs …",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,These are the best phones you can buy at a wide range of prices based on our extensive testing and head-to-head comparisons.,Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,21 Oct 2024 — iPhone 16 Plus · Good · Stunning display · Solid build quality and lovely colour options · Battery life is bonkers on this one · Excellent for ...,Positive,"['good', 'excellent', 'quality', 'battery', 'display']",[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,"Sharing more of the same features found on the Pro models than ever before, the iPhone 16 proves that, pound-for-pound, it's one of the best contenders for best phone, with its stylish looks,...",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,"Sep 18, 2024 · For the starting price, the iPhone 16 offers responsive performance to compete with rivals like the Galaxy S24 or Pixel 9. It’s not a night-and-day improvement over the iPhone 15 for say, video...",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
i phone 16,"October 7, 2024 - I wasn't lucky enough to get an iPhone 16 Pro Max on launch day, but seven days ago it finally appeared at my door. I already had a good idea of what to expect when it did arrive thanks to Tom's Guide's reviews and hands-ons with the different models and their new features, but now I've had ...",Positive,['good'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
Samsung Discover the Latest,"1 month ago - You really have to be swayed by the thin look of the Edge to justify that cost, since other features — including performance and Galaxy AI support — are identical. Read our full Samsung Galaxy S25 Edge review . ... U.S. shoppers can now discover what people in the U.K.",Neutral,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
Samsung Discover the Latest,"Aug 9, 2025 · Get the latest samsung reviews headlines including analysis on top samsung reviews , stories, photos and more on samsung.",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
Samsung Discover the Latest,Samsung 's latest buds are bringing some great specs and Galaxy AI to a more affordable price point.,Positive,['great'],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
Samsung Discover the Latest,"February 17, 2025 - Our guide to the best Samsung phones features models for all budgets and use cases.",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
Samsung Discover the Latest,Total of 298 user reviews and opinions for Samsung Galaxy Discover S730M. ... These are the best offers from our affiliate partners.,Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
cmf by nothin phone 1,"Reach Champ FM. Nothing Phone 1 . OS. Android v12.Nothing’s sub-brand CMF (Colour Material Finish) is shaking up the Indian smartphone market with its first release, the CMF Phone 1 . Tailored for budget-conscious buyers, this phone is all about eye-catching …",Positive,[],[],[],"Mostly Positive — 57.4% Positive, 8.5% Negative, 34.1% Neutral"
redmi 9A,"Been using my Redmi 9A (32gb / 1) phone for 1 and half year for school purposes. Trust me, it will test your patience. I can't even open another tab because it lags everytime. The only good thing about this phone is it has a large battery capacity and has a large display .",Positive,"['good', 'battery', 'display']",['lag'],['Improve performance/speed.'],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
redmi 9A,"Xiaomi Redmi 9A mobile with 6.53-inch 720x1600 display powered by MediaTek Helio G25 processor alongside 2GB of RAM and 13-megapixel rear camera. 3.9☆ 9,001 ...",Neutral,"['camera', 'display']",[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
redmi 9A,"You can check the price history of Xiaomi Redmi 9A below. The current price is ₹7,999. Over the past month, there has been a increase of ₹1,426 in the price.",Negative,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
redmi 9A,"I kinda gave up and took on a Samsung Phone and kept the 9A as a backup. And even after I cleared out a lot of Apps from it, and only using it to read novels. That damn thing still lags! It was so bad I gave up. Its now sitting in my office doing nothing. I was hoping to donate it, but considering how laggy it is. I didnt want to impose that frustration on others. ... Total of 675 user reviews and opinions for Xiaomi Redmi ...",Negative,[],"['bad', 'lag']","['Improve performance/speed.', 'Quality/reliability improvements.']","Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
mi,Install MIUI version 6.10.13. Battery least longest on it. Up to 6h SOT on 5-6 days standby. No bugs founded. ... Total of 2728 user reviews and opinions for Xiaomi Mi 4.,Negative,['battery'],['bug'],['Stability fixes.'],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
mi,"Recently at nougat miui 8 stable. Miui 9 coming, currently in beta channel. Been using this phone for 1 year now. SOT about 4.5 hours in nougat. Really good phone, definitely better than any redmi series in term of performance. ... Total of 691 user reviews and opinions for Xiaomi Mi 4c.",Positive,['good'],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
mi,Xiaomi Mi 11 review ... Reviews Xiaomi Mi 11 review ... Xiaomi Mi 11 review - Reader comments,Neutral,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
mi,7 Aug 2025 — The Xiaomi 15 Ultra occupies our current top spot thanks to its exceptional performance and truly unique cameras.,Positive,['camera'],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
mi,"3 Nov 2021 — Mi Notebook Ultra Laptop · Good · High-res 90Hz 16:10 display · Comfortable keyboard · Relatively portable, well built · Good overall ...",Positive,"['good', 'comfortable', 'display']",[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"It’s not going to impress camera phone fans and you’ll have to wait for a few of its software features, but despite those setbacks, the Poco X7 Pro presents a solid package at a low price. ... Why you can trust TechRadar We spend hours testing every product or service we review , so you can ... A fiercely competitive budget phone",Neutral,['camera'],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"User Ratings for Poco F1 and User Reviews for Poco F1 at Gadgets 360. Do you agree with the responses? or Was this review helpful to You? You can easily share your opinions, vote for each Poco F1 user review and rating.",Positive,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"The Poco X3 NFC comes with a few features you might expect of a pricier Android handset, such as decent gaming performance thanks to its Snapdragon G-series processor and a 120Hz screen, with excellent battery life sealing the deal. This is a great option for those on a budget. ... Why you can trust TechRadar We spend hours testing every product or service we review ... A lot of phone for not very much cash",Positive,"['great', 'excellent', 'battery']",[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"November 11, 2023 - Poco 's new entry-level herp is here. We have the new Poco C65 in for review so let's do an unboxing. The phone comes in a modest package with only a USB...",Neutral,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"We will continue to refer to the handset as Poco F6 throughout this review , but all review findings should apply to the Redmi Turbo 3 as well.",Neutral,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,"Well, we are intrigued to see what this Poco F4 has to offer, especially now that we've reviewed the higher-tier Poco F4 GT.",Neutral,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
poco,Poco X6 Pro review ... Reviews Poco X6 Pro review ... Poco X6 Pro review - Reader comments,Neutral,[],[],[],"Mostly Positive — 58.8% Positive, 7.8% Negative, 33.4% Neutral"
